latitude,longitude,rwi,error
13.3147939,-7.4157715,-0.640,0.270
15.5489602,-5.4382324,-0.343,0.379
13.6139558,-3.6804199,-0.356,0.265
11.8350943,-5.8337402,-1.022,0.262
14.9766264,-2.7575684,-0.805,0.253
14.7217604,-8.9758301,-0.705,0.280
13.5925995,-6.6687012,-0.450,0.283
13.4216803,-4.3395996,-0.469,0.252
12.0070844,-7.4816895,-0.583,0.281
14.0406726,-5.0646973,0.183,0.274
15.1675773,-3.7683105,-0.841,0.261
15.3371669,0.0329590,-0.441,0.253
13.4430519,-6.5808105,-0.976,0.292
13.1436775,-9.3273926,-0.937,0.286
16.9622326,-0.4504395,-0.689,0.286
13.5498812,-4.1418457,-0.710,0.256
15.0402957,-7.4816895,-0.638,0.271
12.9724418,-9.4592285,-0.680,0.302
12.4794869,-9.3933105,-0.540,0.276
15.1251586,-3.3068848,-0.758,0.262
10.2608706,-6.9763184,-0.323,0.257
13.3789314,-10.3820801,-1.023,0.321
11.5338520,-6.4270020,-0.772,0.262
11.2322862,-6.0534668,-1.092,0.264
16.8150577,-2.1203613,-0.621,0.279
13.4857894,-3.5925293,-0.734,0.257
14.2963234,-10.7775879,-0.325,0.257
13.9980363,-5.7019043,-0.445,0.285
13.3147939,-3.6364746,-0.574,0.267
13.0794780,-6.6467285,-0.498,0.300
12.4794869,-6.2512207,-0.479,0.287
14.3176146,-3.3288574,-0.324,0.255
14.3176146,-11.2829590,-0.436,0.289
15.8239658,-1.3293457,-0.351,0.270
14.2750302,-11.5246582,-0.421,0.262
12.5652867,-10.9533691,-0.507,0.274
14.8067491,-2.5817871,0.161,0.251
15.3371669,-8.8220215,-0.347,0.283
12.7153674,-4.8669434,-0.477,0.276
14.8917045,-9.7668457,-1.024,0.276
13.6353101,-7.1520996,-0.326,0.282
13.6353101,-3.9001465,-0.823,0.257
11.6845141,-6.8005371,-0.387,0.273
14.3601909,-5.0646973,-0.508,0.259
12.0285754,-6.0974121,-0.591,0.273
10.9519780,-6.3391113,-0.688,0.268
11.0813844,-6.9104004,-0.476,0.318
14.9129381,-4.8669434,-0.138,0.258
15.2311894,-8.8879395,-0.695,0.289
12.8867796,-9.7448730,-0.543,0.279
11.5123222,-7.9211426,-0.697,0.275
13.6780130,-8.4045410,-0.893,0.268
13.9127399,-3.5046387,-0.701,0.259
14.6367386,-8.9978027,-0.517,0.279
13.9980363,-7.7014160,-0.117,0.274
12.6296178,-6.1193848,-0.437,0.325
11.2107336,-8.5144043,-0.580,0.294
14.5304150,-6.3610840,-0.823,0.275
13.0366691,-7.9870605,-0.113,0.389
12.2863336,-7.8552246,-0.840,0.276
13.9553920,-10.2722168,-0.735,0.283
13.2934109,-7.5695801,-0.150,0.370
